City,Country,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Date
Mataura,NZ,-46.19,168.86,53.58,82,93,1.21,1597804350
Daru,PG,-9.08,143.21,80.26,60,1,9.22,1597804351
Ponta do Sol,PT,32.67,-17.1,71.6,78,20,0.96,1597804351
Ushuaia,AR,-54.8,-68.3,32.0,90,40,8.05,1597804282
New Norfolk,AU,-42.78,147.06,53.01,80,35,1.99,1597804352
George Town,MY,5.41,100.34,84.2,83,20,4.7,1597804352
Tasiilaq,GL,65.61,-37.64,44.6,65,60,4.7,1597804353
Hobart,AU,-42.88,147.33,55.99,54,40,9.17,1597804303
Port Elizabeth,ZA,-33.92,25.57,48.2,87,40,17.22,1597804354
Pevek,RU,69.7,170.31,44.06,71,53,12.3,1597804098
Sabang,ID,5.89,95.32,82.54,73,88,4.59,1597804356
Medicine Hat,CA,50.05,-110.67,84.2,37,20,4.7,1597804357
Muravlenko,RU,63.79,74.52,61.77,67,93,16.84,1597804337
Te Anau,NZ,-45.42,167.72,51.8,85,85,1.43,1597804357
Atuona,PF,-9.8,-139.03,79.11,73,1,20.74,1597804358
Vaini,TO,-21.2,-175.2,73.4,100,90,12.75,1597804359
Ahipara,NZ,-35.17,173.17,60.78,80,9,13.4,1597804360
Keflavik,IS,64.0,-22.56,53.6,93,75,13.87,1597804360
Pangody,RU,65.85,74.49,62.42,62,100,16.64,1597804361
Voh,NC,-20.97,164.7,76.26,48,1,6.44,1597804361
Bambous Virieux,MU,-20.34,57.76,71.6,68,75,13.87,1597804363
Longyearbyen,SJ,78.22,15.64,41.0,80,75,12.75,1597804326
Semey,KZ,50.41,80.23,64.4,59,79,6.71,1597804364
Kruisfontein,ZA,-34.0,24.73,48.4,80,82,16.78,1597804365
Dikson,RU,73.51,80.55,55.15,72,0,11.03,1597804365
Lompoc,US,34.64,-120.46,72.0,68,1,9.17,1597804366
Qandala,SO,11.47,49.87,89.71,45,99,8.61,1597804366
Nikolskoye,RU,59.7,30.79,50.0,87,0,4.47,1597804366
Bluff,NZ,-46.6,168.33,50.41,91,94,5.53,1597804368
Szczecinek,PL,53.71,16.7,62.01,82,97,3.13,1597804368
East London,ZA,-33.02,27.91,54.25,63,82,27.87,1597804370
Mezen',RU,65.85,44.24,46.02,82,94,7.07,1597804370
Riyadh,SA,24.69,46.72,75.2,29,6,9.28,1597804305
Mossamedes,AO,-15.2,12.15,60.1,79,4,3.33,1597804372
Cherskiy,RU,68.75,161.3,46.38,80,100,7.47,1597804372
San Patricio,MX,19.22,-104.7,77.5,87,100,4.12,1597804373
Yellowknife,CA,62.46,-114.35,63.0,72,75,9.17,1597804300
Guajará,BR,-2.97,-57.67,80.89,52,88,1.74,1597804375
Portland,US,45.52,-122.68,82.4,42,20,9.17,1597804375
Yenagoa,NG,4.92,6.26,74.12,92,100,3.15,1597804375
Fortuna,US,40.6,-124.16,66.0,76,4,1.01,1597804376
Chimoré,BO,-16.98,-65.13,72.3,86,95,2.33,1597804376
Port Blair,IN,11.67,92.75,84.83,72,86,14.54,1597804377
Hithadhoo,MV,-0.6,73.08,84.33,72,45,9.51,1597804377
Concepción del Uruguay,AR,-32.48,-58.24,55.99,59,0,5.01,1597804192
Kralendijk,BQ,12.15,-68.27,80.6,94,100,4.7,1597804378
Klaksvík,FO,62.23,-6.59,46.4,87,100,1.12,1597804379
Albany,US,42.6,-73.97,66.99,95,0,4.41,1597804379
Nemuro,JP,43.32,145.57,80.6,69,20,14.99,1597804380
Avarua,CK,-21.21,-159.78,75.2,73,47,25.28,1597804381
Flinders,AU,-34.58,150.86,66.99,45,13,10.0,1597804381
Angoram,PG,-4.06,144.07,93.51,47,15,2.84,1597804381
Pyapon,MM,16.28,95.68,80.1,83,100,8.75,1597804382
Gopālpur,IN,19.27,84.92,77.7,92,100,7.43,1597804382
Thabazimbi,ZA,-24.59,27.41,34.0,53,0,9.8,1597804383
Coyhaique,CL,-45.58,-72.07,30.2,80,0,4.7,1597804370
Tiksi,RU,71.69,128.87,40.05,85,99,12.59,1597804328
Tocopilla,CL,-22.09,-70.2,54.25,68,14,9.86,1597804386
Kavaratti,IN,10.57,72.64,81.68,79,99,10.69,1597804315
Busselton,AU,-33.65,115.33,60.01,59,32,3.51,1597804302
Maricá,BR,-22.92,-42.82,75.2,83,0,2.24,1597804182
Bredasdorp,ZA,-34.53,20.04,42.8,87,95,5.82,1597804096
Qaanaaq,GL,77.48,-69.36,44.2,76,100,4.79,1597804388
Bandrele,YT,-12.91,45.19,75.2,83,56,2.24,1597804374
Mingshui,CN,36.72,117.5,84.0,79,100,7.67,1597804389
Noumea,NC,-22.28,166.46,75.2,53,0,8.05,1597804390
Talnakh,RU,69.49,88.4,68.0,37,3,8.95,1597804391
Arraial do Cabo,BR,-22.97,-42.03,73.4,83,0,13.87,1597804391
Cape Town,ZA,-33.93,18.42,48.99,81,20,1.12,1597804284
Raudeberg,NO,61.99,5.14,64.0,86,28,6.42,1597804393
Rikitea,PF,-23.12,-134.97,71.89,80,45,8.16,1597804393
Kuril'sk,RU,45.23,147.88,62.13,85,97,8.3,1597804395
San Jose,US,37.34,-121.89,93.99,29,75,8.05,1597803586
Clyde River,CA,70.47,-68.59,46.4,93,90,3.36,1597804396
Verāval,IN,20.9,70.37,82.6,83,100,18.37,1597804396
Ilulissat,GL,69.22,-51.1,44.6,56,100,6.35,1597804396
Punta Arenas,CL,-53.15,-70.92,33.8,69,86,6.93,1597804327
Pahrump,US,36.21,-115.98,102.0,15,99,1.01,1597804384
San Isidro,PE,-12.12,-77.05,59.0,87,90,13.87,1597804398
Sagae,JP,38.37,140.27,82.4,65,20,4.7,1597804398
Castro,BR,-24.79,-50.01,59.13,94,100,3.29,1597804393
Havøysund,NO,71.0,24.66,48.2,100,100,9.17,1597804399
Hermanus,ZA,-34.42,19.23,46.0,74,73,5.82,1597804400
Provideniya,RU,64.38,-173.3,53.6,76,90,11.18,1597804400
Isangel,VU,-19.55,169.27,78.8,65,40,8.05,1597804401
Lebu,CL,-37.62,-73.65,44.46,73,0,13.09,1597804401
Qaqortoq,GL,60.72,-46.03,48.2,66,0,5.82,1597804402
Kodinsk,RU,58.69,99.18,73.29,41,49,7.02,1597804402
Biak,ID,-0.91,122.88,82.27,62,30,9.84,1597804403
Puerto Ayora,EC,-0.74,-90.35,66.99,95,86,7.0,1597804403
Carnarvon,AU,-24.87,113.63,66.2,52,46,16.11,1597804403
Port Alfred,ZA,-33.59,26.89,53.56,71,84,26.78,1597804404
Saint Paul Harbor,US,57.79,-152.41,60.8,67,75,6.93,1597804405
Saldanha,ZA,-33.01,17.94,42.8,81,42,1.12,1597804405
Parkes,AU,-33.13,148.18,60.01,43,64,1.01,1597804406
Iracoubo,GF,5.48,-53.2,78.37,85,1,7.25,1597804406
Prince Rupert,CA,54.32,-130.32,59.0,82,40,4.7,1597804407
Hasaki,JP,35.73,140.83,93.0,66,75,3.36,1597804408
Korla,CN,41.76,86.15,84.0,22,65,15.88,1597804146
Butaritari,KI,3.07,172.79,83.93,69,0,9.8,1597804409
Maputo,MZ,-25.97,32.59,62.6,67,75,17.22,1597804411
La Ronge,CA,55.1,-105.28,69.8,68,20,11.41,1597804411
Santa Cruz de La Palma,ES,28.68,-17.76,72.0,83,0,10.29,1597804413
Itupiranga,BR,-5.13,-49.33,84.2,70,67,4.7,1597804413
Muros,ES,42.78,-9.06,69.01,91,100,18.01,1597804414
Norsup,VU,-16.07,167.38,82.4,69,20,4.7,1597804414
College,US,64.86,-147.8,75.2,33,40,3.51,1597804415
Tamandaré,BR,-8.76,-35.1,73.11,81,42,9.82,1597804415
Berlevåg,NO,70.86,29.09,51.03,81,85,9.42,1597804416
Narsaq,GL,60.92,-46.05,48.2,66,0,5.82,1597804416
Airai,TL,-8.93,125.41,77.13,32,8,4.81,1597804417
Tessalit,ML,20.2,1.01,92.53,21,7,10.11,1597804417
Walvis Bay,NA,-22.96,14.51,46.4,81,0,5.82,1597804418
Ayan,RU,56.45,138.17,55.62,67,100,12.66,1597804418
Hilo,US,19.73,-155.09,82.4,61,90,7.16,1597804407
Tomatlán,MX,19.93,-105.25,76.93,85,100,6.2,1597804419
Badhni Kalān,IN,30.68,75.28,85.87,78,92,4.85,1597804420
Bambanglipuro,ID,-7.95,110.28,84.15,60,18,15.3,1597804421
Cabo San Lucas,MX,22.89,-109.91,86.0,51,90,6.93,1597804421
Soyo,AO,-6.13,12.37,72.25,85,68,9.1,1597804422
Kaitangata,NZ,-46.28,169.85,53.6,84,91,5.99,1597804423
Hirara,JP,24.8,125.28,89.6,79,40,11.41,1597804423
Millinocket,US,45.66,-68.71,59.0,87,1,4.43,1597804377
Sola,VU,-13.88,167.55,79.14,87,87,13.27,1597804424
Tiznit Province,MA,29.58,-9.5,65.43,67,0,0.83,1597804425
Fort-Shevchenko,KZ,44.51,50.26,73.71,64,0,5.39,1597804425
Port Lincoln,AU,-34.73,135.87,57.6,66,7,25.84,1597804426
Cidreira,BR,-30.18,-50.21,61.77,96,93,3.98,1597804426
Ambon City,ID,-3.7,128.18,82.4,74,40,4.7,1597804427
Husavik,IS,66.04,-17.34,50.0,71,90,5.82,1597804427
Emerald,AU,-23.53,148.17,87.01,23,0,9.17,1597804171
Bend,US,44.06,-121.32,86.0,22,20,9.17,1597804428
Tirukkoyilur,IN,11.95,79.2,84.7,61,100,6.76,1597804429
Aklavik,CA,68.22,-135.01,62.6,51,20,8.05,1597804429
Luwuk,ID,-0.95,122.79,84.4,56,32,8.93,1597804429
Saint-Philippe,RE,-21.36,55.77,62.6,77,20,6.93,1597804430
Derzhavīnsk,KZ,51.1,66.32,58.42,70,52,13.47,1597804430
Quatre Cocos,MU,-20.21,57.76,71.6,68,75,13.87,1597804432
Slavonski Brod,HR,45.16,18.02,62.01,83,93,4.16,1597804432
Keti Bandar,PK,24.14,67.45,85.48,76,97,11.68,1597804433
Jamestown,US,42.1,-79.24,63.0,77,1,4.7,1597804374
Yar-Sale,RU,66.83,70.83,58.17,74,100,15.66,1597804434
Amazar,RU,53.86,120.88,67.71,31,0,4.43,1597804388
Havre-St-Pierre,CA,50.23,-63.6,60.8,93,90,6.93,1597804435
Chokurdakh,RU,70.63,147.92,38.28,91,100,10.71,1597804318
Beringovskiy,RU,63.05,179.32,54.41,57,1,5.77,1597804436
Humaitá,BR,-7.51,-63.02,85.3,40,72,2.55,1597804437
Thompson,CA,55.74,-97.86,62.6,77,90,4.7,1597804437
Neiafu,TO,-18.65,-173.98,80.6,83,75,13.87,1597804406
Bengkulu,ID,-3.8,102.27,86.54,61,14,2.3,1597804438
Tuatapere,NZ,-46.13,167.68,55.35,82,100,3.02,1597804438
Poum,NC,-20.23,164.02,69.35,70,9,2.51,1597804439
Yugorsk,RU,61.31,63.33,55.09,94,100,7.07,1597804440
Shikhazany,RU,55.56,47.39,48.2,81,0,6.71,1597804440
Svetlaya,RU,46.54,138.33,70.29,73,100,6.71,1597804442
Lincoln,US,40.8,-96.67,73.4,64,1,4.7,1597804251
Hamza,UZ,40.43,71.5,66.2,82,96,0.2,1597804443
Ribeira Grande,PT,38.52,-28.7,70.32,71,30,17.67,1597804444
Consolación del Sur,CU,22.5,-83.51,77.22,87,24,3.76,1597804445
Tiarei,PF,-17.53,-149.33,82.4,65,40,8.05,1597804446
Bumba,CD,2.18,22.47,73.58,86,100,1.83,1597804446
Grand Gaube,MU,-20.01,57.66,66.99,80,67,5.01,1597804446
Lensk,RU,60.73,114.93,69.87,32,61,4.9,1597804447
Mount Gambier,AU,-37.83,140.77,51.8,81,90,13.87,1597804432
Pangnirtung,CA,66.15,-65.71,59.23,54,100,7.05,1597804422
Murray Bridge,AU,-35.12,139.27,55.0,78,39,11.01,1597804238
Griffith,US,41.53,-87.42,70.0,56,1,4.7,1597804448
Nome,US,64.5,-165.41,70.0,67,1,8.05,1597804449
Sørkjosen,NO,69.8,20.93,50.97,72,92,5.46,1597804449
Sisimiut,GL,66.94,-53.67,52.11,65,68,2.91,1597804449
Kapaa,US,22.08,-159.32,82.0,78,90,10.29,1597804450
Khatanga,RU,71.97,102.5,54.95,54,0,16.15,1597804450
Banda Aceh,ID,5.56,95.32,85.05,64,98,3.53,1597804451
Chillán,CL,-36.61,-72.1,41.0,100,39,4.7,1597804451
Samarai,PG,-10.62,150.67,76.41,64,93,7.87,1597804452
Severo-Kuril'sk,RU,50.68,156.12,51.96,86,100,13.0,1597804454
Rome,US,43.21,-75.46,60.8,77,1,3.36,1597804454
Mar del Plata,AR,-38.0,-57.56,42.01,70,52,4.7,1597804161
Sémbé,CG,1.65,14.58,70.83,92,100,3.18,1597804455
Koumac,NC,-20.57,164.28,72.91,56,0,6.24,1597804456
City of San Pedro,PH,14.35,121.02,88.0,74,89,5.82,1597804456
Luanda,AO,-8.84,13.23,68.0,88,40,2.24,1597804457
Ambovombe,MG,-25.17,46.08,64.62,72,0,7.34,1597804458
Lesnoye,RU,58.28,35.52,47.39,83,1,2.91,1597804459
Nanortalik,GL,60.14,-45.24,47.25,70,0,2.59,1597804460
Karratha,AU,-20.74,116.85,77.95,23,0,19.89,1597804460
Houston,US,29.76,-95.36,89.01,55,75,5.82,1597803900
Kaeo,NZ,-35.1,173.78,64.0,58,57,5.01,1597804461
Zaykovo,RU,57.56,62.76,51.64,97,99,6.08,1597804462
Saskylakh,RU,71.92,114.08,48.09,60,97,8.86,1597804404
Kalmunai,LK,7.42,81.82,83.21,65,84,7.63,1597804463
Acapulco de Juárez,MX,16.86,-99.89,84.2,74,75,8.05,1597804463
Dandong,CN,40.13,124.39,78.04,91,98,10.6,1597804464
Oranjemund,NA,-28.55,16.43,51.3,64,50,14.67,1597804464
São Filipe,CV,14.9,-24.5,77.61,87,39,6.96,1597804464
Correderos,HN,15.42,-88.45,67.08,99,38,0.72,1597804466
Zagora,MA,30.35,-5.84,88.88,13,0,4.25,1597804468
Presidencia Roque Sáenz Peña,AR,-26.79,-60.44,59.86,46,0,5.68,1597804468
Kismayo,SO,-0.36,42.55,76.98,80,99,13.78,1597804468
Yumen,CN,40.28,97.2,83.53,14,0,19.8,1597804469
Caravelas,BR,-17.71,-39.25,71.58,87,4,5.97,1597804469
Tuktoyaktuk,CA,69.45,-133.04,62.6,59,40,4.7,1597804469
Adrar,MR,20.5,-10.07,97.14,13,65,15.93,1597804470
Vostok,RU,46.49,135.88,58.24,99,100,3.44,1597804470
Marsá Maţrūḩ,EG,31.35,27.25,75.2,83,20,8.05,1597804472
Porto Santo,PT,33.07,-16.34,71.6,78,40,3.36,1597804472
Pouébo,NC,-20.4,164.57,74.84,56,8,2.46,1597804473
Bubaque,GW,11.28,-15.83,80.69,84,100,15.55,1597804473
Makaha,US,21.47,-158.22,87.8,61,90,5.82,1597804473
Taku,CN,39.02,117.65,69.8,94,90,8.95,1597804474
Iqaluit,CA,63.75,-68.51,42.01,93,75,18.34,1597804474
Cockburn Town,TC,21.46,-71.14,83.52,79,0,17.65,1597804204
Atambua,ID,-9.11,124.89,85.75,38,60,1.95,1597804442
Touros,BR,-5.2,-35.46,73.4,94,40,4.7,1597804351
Takoradze,GH,4.88,-1.76,75.43,86,97,8.5,1597804363
Wahpeton,US,46.27,-96.61,71.01,77,1,6.93,1597804476
Båtsfjord,NO,70.63,29.72,50.85,82,90,9.73,1597804477
Rocha,UY,-34.48,-54.33,46.51,92,0,6.89,1597804477
Pão de Açúcar,BR,-9.75,-37.44,67.75,93,1,5.57,1597804477
Lagoa,PT,39.05,-27.98,70.18,72,20,18.88,1597804423
Hong Kong,HK,22.29,114.16,81.0,78,40,20.8,1597804366
Margate,GB,51.38,1.39,66.99,66,68,7.11,1597804478
Mahébourg,MU,-20.41,57.7,71.6,68,75,13.87,1597804479
Shelburne,CA,44.08,-80.2,55.4,87,20,4.7,1597804413
Grindavik,IS,63.84,-22.43,51.8,93,75,13.87,1597804480
Sørland,NO,67.67,12.69,52.77,81,100,10.36,1597804480
Taltal,CL,-25.4,-70.48,51.13,75,0,5.64,1597804480
Bethel,US,41.37,-73.41,64.0,82,1,5.82,1597804378
Coari,BR,-4.08,-63.14,81.0,57,22,2.86,1597804385
Port Hardy,CA,50.7,-127.42,60.8,82,75,4.7,1597804481
San Miguel de Tucumán,AR,-26.82,-65.22,53.6,58,0,5.82,1597804213
Salinópolis,BR,-0.61,-47.36,79.41,80,61,10.92,1597804458
Satipo,PE,-11.25,-74.64,74.19,64,24,1.34,1597804482
Vestmannaeyjar,IS,63.44,-20.27,51.73,88,74,18.41,1597804483
Udachny,RU,66.42,112.4,50.0,93,90,4.47,1597804354
Cap Malheureux,MU,-19.98,57.61,66.99,80,70,7.0,1597804263
Sarkand,KZ,45.41,79.92,75.42,20,0,3.06,1597804485
Norrtälje,SE,59.76,18.7,66.99,90,40,4.81,1597804389
Yicheng,CN,31.37,119.87,95.0,56,0,8.66,1597804486
Port Macquarie,AU,-31.43,152.92,72.0,30,0,3.0,1597804486
Freeport,US,40.66,-73.58,75.0,83,1,5.82,1597804469
Kostomuksha,RU,64.57,30.58,47.82,86,75,2.66,1597804487
Antalaha,MG,-14.9,50.28,65.28,85,73,6.08,1597804488
Tabas,IR,33.6,56.92,82.4,21,5,4.7,1597804489
Richards Bay,ZA,-28.78,32.04,57.02,42,0,12.01,1597804489
Kelvington,CA,52.17,-103.53,70.43,56,0,0.87,1597804490
Khovd,MN,48.01,91.64,72.21,31,100,8.63,1597804490
Puerto Colombia,CO,10.99,-74.95,82.4,88,40,6.93,1597804491
Kabwe,ZM,-14.45,28.45,57.07,68,3,4.27,1597804461
Tilichiki,RU,60.47,166.1,57.31,58,100,13.71,1597804492
Great Bend,US,38.36,-98.76,78.01,60,1,6.93,1597804493
Lander,US,42.83,-108.73,79.0,31,1,3.36,1597804493
Chiang Khong,TH,20.26,100.4,71.6,100,75,2.24,1597804494
Mokhotlong,LS,-29.29,29.07,17.74,85,0,1.45,1597804494
Boa Vista,BR,2.82,-60.67,80.6,78,20,3.36,1597804495
Nabire,ID,-3.37,135.48,82.94,78,31,1.52,1597804495
Tūkrah,LY,32.53,20.58,73.74,87,0,1.74,1597804496
Laas,IT,46.62,10.7,53.6,100,75,2.24,1597804498
Asău,RO,46.43,26.4,62.01,83,15,4.63,1597804499
Zyryanka,RU,65.75,150.85,63.68,38,25,2.19,1597804499
Constitución,CL,-35.33,-72.42,46.31,77,24,8.77,1597804499
Half Moon Bay,US,37.46,-122.43,84.99,77,1,10.29,1597804500
Atasū,KZ,48.68,71.64,64.67,48,88,18.01,1597804500
Vryburg,ZA,-26.96,24.73,28.15,82,0,9.82,1597804501
Mullingar,IE,53.53,-7.35,57.99,82,99,3.36,1597804502
Vila Velha,BR,-20.33,-40.29,75.99,83,40,9.17,1597804503
Altay,CN,47.87,88.12,65.82,56,88,4.16,1597804503
Damara,CF,4.96,18.7,77.0,88,100,3.36,1597804504
Yaan,NG,7.38,8.57,72.93,97,100,6.96,1597804410
Pisco,PE,-13.7,-76.22,62.6,77,22,4.7,1597804465
Geraldton,AU,-28.77,114.6,60.8,72,13,12.75,1597804505
Meulaboh,ID,4.14,96.13,84.69,64,96,1.54,1597804506
Mount Isa,AU,-20.73,139.5,86.0,13,3,11.41,1597804506
Kahului,US,20.89,-156.47,89.6,46,20,21.92,1597804507
Casper,US,42.87,-106.31,84.2,20,1,6.31,1597804392
Augusto Corrêa,BR,-1.02,-46.63,76.35,85,58,4.76,1597804507
